订单号,状态,开始时间,结束时间,电量kWh,金额,手机号,电桩编号,电站
CH2026082000211,已完成,2026-08-20 18:22:24,2026-08-20 19:37:24,75.0,101.25,13912345678,ST02-P02,中关村软件园充电站
CH2026082000203,已完成,2026-08-20 19:53:24,2026-08-20 20:33:24,40.0,48.0,13800138000,ST03-P02,五道口地铁充电站
CH2026082000208,已完成,2026-08-20 20:00:24,2026-08-20 21:30:24,90.0,121.5,13800138000,ST02-P01,中关村软件园充电站
CH2026082100210,已完成,2026-08-21 05:46:24,2026-08-21 06:16:24,30.0,40.5,13912345678,ST02-P02,中关村软件园充电站
CH2026082100206,已完成,2026-08-21 07:52:24,2026-08-21 09:22:24,90.0,121.5,18611112222,ST02-P01,中关村软件园充电站
CH2026082100205,已完成,2026-08-21 08:52:24,2026-08-21 10:07:24,8.75,10.5,18611112222,ST03-P03,五道口地铁充电站
CH2026082100204,已完成,2026-08-21 09:35:24,2026-08-21 10:05:24,30.0,36.0,13912345678,ST03-P02,五道口地铁充电站
CH2026082100222,已完成,2026-08-21 17:41:24,2026-08-21 18:56:24,8.75,10.5,13800138000,ST03-P03,五道口地铁充电站
CH2026082100218,已完成,2026-08-21 18:33:24,2026-08-21 18:53:24,2.333,3.15,18611112222,ST02-P04,中关村软件园充电站
CH2026082100216,已完成,2026-08-21 18:52:24,2026-08-21 19:12:24,2.333,3.15,18611112222,ST02-P04,中关村软件园充电站
CH2026082100214,已完成,2026-08-21 19:14:24,2026-08-21 19:34:24,20.0,24.0,13800138000,ST03-P01,五道口地铁充电站
CH2026082100212,已完成,2026-08-21 19:35:24,2026-08-21 20:15:24,40.0,48.0,13800138000,ST03-P01,五道口地铁充电站
CH2026082100215,已完成,2026-08-21 22:01:24,2026-08-21 23:31:24,10.5,13.44,18611112222,ST01-P04,北京理工大学充电站
CH2026082200223,已完成,2026-08-22 01:14:24,2026-08-22 02:44:24,90.0,121.5,18611112222,ST02-P01,中关村软件园充电站
CH2026082200219,已完成,2026-08-22 01:55:24,2026-08-22 02:25:24,3.5,4.2,18611112222,ST03-P03,五道口地铁充电站
CH2026082200217,已完成,2026-08-22 04:41:24,2026-08-22 05:21:24,4.667,5.97,13912345678,ST01-P04,北京理工大学充电站
CH2026082200213,已完成,2026-08-22 05:51:24,2026-08-22 06:41:24,50.0,67.5,13912345678,ST02-P01,中关村软件园充电站
CH2026082200221,已完成,2026-08-22 06:11:24,2026-08-22 06:31:24,20.0,25.6,13800138000,ST01-P02,北京理工大学充电站
CH2026082200220,已完成,2026-08-22 09:05:24,2026-08-22 09:55:24,50.0,67.5,18611112222,ST02-P01,中关村软件园充电站
CH2026082200236,已完成,2026-08-22 16:42:24,2026-08-22 17:32:24,5.833,7.87,13800138000,ST02-P04,中关村软件园充电站
CH2026082200225,已完成,2026-08-22 16:53:24,2026-08-22 17:23:24,3.5,4.73,13800138000,ST02-P03,中关村软件园充电站
CH2026082200228,已完成,2026-08-22 17:45:24,2026-08-22 18:15:24,30.0,40.5,18611112222,ST02-P01,中关村软件园充电站
CH2026082200229,已完成,2026-08-22 18:18:24,2026-08-22 18:58:24,4.667,6.3,18611112222,ST02-P04,中关村软件园充电站
CH2026082200234,已完成,2026-08-22 18:38:24,2026-08-22 19:08:24,3.5,4.2,13800138000,ST03-P03,五道口地铁充电站
CH2026082200224,已完成,2026-08-22 19:05:24,2026-08-22 19:35:24,3.5,4.73,13800138000,ST02-P04,中关村软件园充电站
CH2026082200226,已完成,2026-08-22 20:19:24,2026-08-22 21:49:24,90.0,115.2,13912345678,ST01-P02,北京理工大学充电站
CH2026082200230,已完成,2026-08-22 21:11:24,2026-08-22 21:51:24,40.0,48.0,18611112222,ST03-P01,五道口地铁充电站
CH2026082200233,已完成,2026-08-22 21:16:24,2026-08-22 22:31:24,8.75,11.81,18611112222,ST02-P04,中关村软件园充电站
CH2026082200235,已完成,2026-08-22 22:45:24,2026-08-22 23:05:24,20.0,24.0,18611112222,ST03-P01,五道口地铁充电站
CH2026082300231,已完成,2026-08-23 02:04:24,2026-08-23 02:54:24,5.833,7.47,18611112222,ST01-P04,北京理工大学充电站
CH2026082300232,已完成,2026-08-23 08:20:24,2026-08-23 09:35:24,8.75,11.2,13912345678,ST01-P04,北京理工大学充电站
CH2026082300227,已完成,2026-08-23 09:22:24,2026-08-23 10:37:24,75.0,90.0,13912345678,ST03-P01,五道口地铁充电站
CH2026082300238,已完成,2026-08-23 20:59:24,2026-08-23 21:19:24,20.0,27.0,13912345678,ST02-P01,中关村软件园充电站
CH2026082300239,已完成,2026-08-23 21:20:24,2026-08-23 22:35:24,75.0,101.25,18611112222,ST02-P02,中关村软件园充电站
CH2026082400241,已完成,2026-08-24 00:26:24,2026-08-24 01:41:24,8.75,11.2,18611112222,ST01-P04,北京理工大学充电站
CH2026082400237,已完成,2026-08-24 05:36:24,2026-08-24 06:26:24,5.833,7.47,13912345678,ST01-P03,北京理工大学充电站
CH2026082400242,已完成,2026-08-24 05:52:24,2026-08-24 07:07:24,75.0,96.0,13912345678,ST01-P02,北京理工大学充电站
CH2026082400240,已完成,2026-08-24 08:01:24,2026-08-24 08:21:24,2.333,3.15,18611112222,ST02-P04,中关村软件园充电站
CH2026082400249,已完成,2026-08-24 19:24:24,2026-08-24 20:39:24,8.75,10.5,13912345678,ST03-P03,五道口地铁充电站
CH2026082400247,已完成,2026-08-24 21:01:24,2026-08-24 22:16:24,75.0,96.0,18611112222,ST01-P02,北京理工大学充电站
CH2026082400243,已完成,2026-08-24 23:43:24,2026-08-25 00:03:24,2.333,3.15,13800138000,ST02-P04,中关村软件园充电站
CH2026082500246,已完成,2026-08-25 04:30:24,2026-08-25 05:00:24,3.5,4.73,18611112222,ST02-P03,中关村软件园充电站
CH2026082500245,已完成,2026-08-25 05:25:24,2026-08-25 06:25:24,60.0,81.0,13912345678,ST02-P02,中关村软件园充电站
CH2026082500248,已完成,2026-08-25 05:26:24,2026-08-25 06:16:24,5.833,7.47,13912345678,ST01-P04,北京理工大学充电站
CH2026082500244,已完成,2026-08-25 08:22:24,2026-08-25 09:02:24,40.0,51.2,13912345678,ST01-P01,北京理工大学充电站
CH2026082500255,已完成,2026-08-25 21:23:24,2026-08-25 21:43:24,20.0,25.6,18611112222,ST01-P01,北京理工大学充电站
CH2026082500254,已完成,2026-08-25 23:56:24,2026-08-26 00:36:24,40.0,54.0,18611112222,ST02-P02,中关村软件园充电站
CH2026082600251,已完成,2026-08-26 00:00:24,2026-08-26 00:50:24,50.0,67.5,18611112222,ST02-P02,中关村软件园充电站
CH2026082600252,已完成,2026-08-26 00:28:24,2026-08-26 01:18:24,50.0,67.5,13912345678,ST02-P01,中关村软件园充电站
CH2026082600253,已完成,2026-08-26 02:16:24,2026-08-26 03:16:24,7.0,9.45,13800138000,ST02-P04,中关村软件园充电站
CH2026082600250,已完成,2026-08-26 04:36:24,2026-08-26 05:26:24,5.833,7.87,13912345678,ST02-P04,中关村软件园充电站
CH2026082600256,已完成,2026-08-26 17:47:24,2026-08-26 18:27:24,40.0,48.0,18611112222,ST03-P02,五道口地铁充电站
CH2026082600261,已完成,2026-08-26 21:54:24,2026-08-26 22:24:24,3.5,4.73,13800138000,ST02-P04,中关村软件园充电站
CH2026082600257,已完成,2026-08-26 22:26:24,2026-08-26 23:41:24,8.75,11.2,18611112222,ST01-P04,北京理工大学充电站
CH2026082700258,已完成,2026-08-27 00:57:24,2026-08-27 02:27:24,10.5,13.44,18611112222,ST01-P04,北京理工大学充电站
CH2026082700259,已完成,2026-08-27 05:00:24,2026-08-27 05:20:24,2.333,2.8,18611112222,ST03-P03,五道口地铁充电站
CH2026082700260,已完成,2026-08-27 08:21:24,2026-08-27 09:51:24,10.5,12.6,18611112222,ST03-P03,五道口地铁充电站
CH2026082700262,已完成,2026-08-27 20:29:24,2026-08-27 20:59:24,30.0,40.5,13912345678,ST02-P01,中关村软件园充电站
CH2026082700267,已完成,2026-08-27 20:46:24,2026-08-27 22:16:24,10.5,12.6,18611112222,ST03-P03,五道口地铁充电站
CH2026082700263,已完成,2026-08-27 22:07:24,2026-08-27 23:07:24,7.0,8.96,18611112222,ST01-P03,北京理工大学充电站
CH2026082700265,已完成,2026-08-27 22:49:24,2026-08-27 23:09:24,2.333,3.15,13912345678,ST02-P04,中关村软件园充电站
CH2026082800264,已完成,2026-08-28 00:42:24,2026-08-28 02:12:24,90.0,121.5,13800138000,ST02-P01,中关村软件园充电站
CH2026082800266,已完成,2026-08-28 04:52:24,2026-08-28 05:22:24,3.5,4.73,13800138000,ST02-P04,中关村软件园充电站
CH2026082800268,已完成,2026-08-28 06:50:24,2026-08-28 07:40:24,50.0,60.0,13912345678,ST03-P01,五道口地铁充电站
CH2026082800272,已完成,2026-08-28 22:42:24,2026-08-28 23:42:24,7.0,9.45,13800138000,ST02-P04,中关村软件园充电站
CH2026082800274,已完成,2026-08-28 23:59:24,2026-08-29 00:49:24,5.833,7.87,18611112222,ST02-P04,中关村软件园充电站
CH2026082900270,已完成,2026-08-29 01:03:24,2026-08-29 01:53:24,5.833,7.0,18611112222,ST03-P03,五道口地铁充电站
CH2026082900271,已完成,2026-08-29 05:57:24,2026-08-29 06:27:24,3.5,4.2,13912345678,ST03-P03,五道口地铁充电站
CH2026082900269,已完成,2026-08-29 06:11:24,2026-08-29 06:51:24,40.0,54.0,18611112222,ST02-P01,中关村软件园充电站
CH2026082900273,已完成,2026-08-29 07:00:24,2026-08-29 08:30:24,10.5,13.44,18611112222,ST01-P04,北京理工大学充电站
CH2026082900279,已完成,2026-08-29 18:01:24,2026-08-29 18:51:24,5.833,7.0,13800138000,ST03-P03,五道口地铁充电站
CH2026082900277,已完成,2026-08-29 19:17:24,2026-08-29 20:32:24,8.75,11.2,13912345678,ST01-P03,北京理工大学充电站
CH2026082900280,已完成,2026-08-29 22:27:24,2026-08-29 23:17:24,50.0,67.5,13800138000,ST02-P01,中关村软件园充电站
CH2026082900281,已完成,2026-08-29 22:34:24,2026-08-29 23:49:24,8.75,11.81,13800138000,ST02-P04,中关村软件园充电站
CH2026083000276,已完成,2026-08-30 01:44:24,2026-08-30 02:44:24,60.0,76.8,13800138000,ST01-P02,北京理工大学充电站
CH2026083000278,已完成,2026-08-30 04:44:24,2026-08-30 05:34:24,50.0,60.0,13912345678,ST03-P01,五道口地铁充电站
CH2026083000275,已完成,2026-08-30 08:21:24,2026-08-30 09:11:24,5.833,7.47,13800138000,ST01-P03,北京理工大学充电站
